subject_id,age,gender,mom_edu,language,music_training,sheet_music,h_c_pre,h_c_post,anxiety,lag_task1,pc_baseline_task1,pc_post1_task1,pc_pre2_task1,pc_post2_task1,pc_final_task1,sdl_baseline_task1,sdl_post1_task1,sdl_pre2_task1,sdl_post2_task1,sdl_final_task1,sda_baseline_task1,sda_post1_task1,sda_pre2_task1,sda_post2_task1,sda_final_task1
1,18,0,14,100,NA,NA,100,100,2.5,1,67,71,88,84,63,226,219,114,89,119,7,4,8,5,10
2,NA,NA,NA,NA,NA,NA,97,97.5,4.75,0,72,64,70,71,71,181,168,191,68,62,9,10,10,13,15
3,NA,0,16,100,NA,NA,60,75,6.75,1,59,94,86,86,98,246,70,47,62,41,10,8,8,6,8
4,21,0,16,90,NA,NA,75,90,8,15,63,57,94,86,84,290,309,302,188,151,5,5,5,5,6
5,19,0,16,44,piano,cannot_read,65.5,62.5,8,5,55,45,65,49,49,754,392,276,362,291,12,12,4,12,4
6,18,0,14,67,other_instrument,can_read,75,80,5.666666667,10,75,55,92,88,100,208,62,98,88,164,4,6,8,4,6
7,18,0,12,60,NA,NA,80,80,2.75,15,92,96,100,84,100,200,72,74,120,81,4,4,4,5,3
8,19,0,10,80,other_instrument,can_read,75,87,7.25,0,76,35,67,59,65,146,115,115,72,69,5,5,7,8,5
9,18,1,12,41,NA,NA,70,65,6,10,88,100,94,47,49,35,47,34,39,43,3,3,4,6,5
10,21,0,16,93,other_instrument,cannot_read,30,75,5.5,10,86,100,100,88,100,39,31,36,36,44,4,3,3,4,4
11,NA,NA,NA,NA,NA,NA,75,NA,3.5,1,76,69,67,82,41,216,386,387,388,334,4,3,3,4,3
12,22,0,22,49,NA,NA,85,86,4.5,5,53,65,71,88,55,334,38,41,46,36,6,6,4,4,3
13,20,0,12,50,NA,NA,100,100,5.75,0,78,82,43,63,53,687,330,234,469,124,6,5,5,6,7
14,25,0,18,90,NA,NA,70,83,5.25,5,80,98,59,71,55,473,54,43,95,37,5,7,5,9,4
15,19,0,14,10,NA,NA,60,70,6.75,5,100,100,69,65,100,177,104,81,91,63,4,4,4,3,3
16,NA,1,12,100,NA,NA,85,85,5.75,15,76,67,100,69,75,99,56,44,42,37,9,10,6,6,7
17,29,1,22,91,other_instrument,cannot_read,70,NA,6,10,67,71,82,65,80,144,46,35,29,30,12,12,6,8,9
18,19,1,12,80,other_instrument,can_read,78.5,80,4.75,1,59,88,53,69,100,201,101,96,65,79,8,7,7,10,7
19,20,0,10,100,NA,NA,90,85.5,7,5,73,43,59,69,76,320,169,651,181,200,5,3,5,7,5
20,21,0,12,100,other_instrument,can_read,95,36,10,0,33,67,100,100,69,114,177,181,50,35,5,9,7,5,6
21,18,0,16,80,NA,NA,77.5,49,2.75,15,57,47,10,69,92,69,90,75,68,101,4,6,5,5,5
22,NA,NA,NA,NA,NA,NA,85,NA,4.5,5,78,100,100,98,100,44,39,35,33,37,17,5,4,6,6
23,NA,NA,NA,NA,NA,NA,80,80,2,0,71,74,73,98,82,292,90,98,71,45,6,5,6,5,5
24,18,0,11,5,other_instrument,cannot_read,65,67.5,8.25,10,86,65,76,76,100,183,214,100,67,59,4,6,4,4,5
